accuracy,precision,recall,f1,TN,FP,FN,TP,cv_fold,params
0.9308253358925144,0.05563093622795115,0.16666666666666666,0.08341810783316378,12083,696,205,41,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9392706333973129,0.064,0.16260162601626016,0.09184845005740529,12194,585,206,40,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9338963531669866,0.06629055007052186,0.1910569105691057,0.09842931937172775,12117,662,199,47,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9345873320537428,0.05309734513274336,0.14634146341463414,0.07792207792207792,12137,642,210,36,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9281381957773512,0.058823529411764705,0.18699186991869918,0.08949416342412451,12043,736,200,46,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9598464491362764,0.05466237942122187,0.06910569105691057,0.06104129263913824,12485,294,229,17,0.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9637619961612284,0.09929078014184398,0.11382113821138211,0.10606060606060606,12525,254,218,28,1.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9625335892514395,0.0798611111111111,0.09349593495934959,0.08614232209737828,12514,265,223,23,2.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9657581573896353,0.07264957264957266,0.06910569105691057,0.07083333333333333,12562,217,229,17,3.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9583877159309021,0.0621301775147929,0.08536585365853659,0.07191780821917808,12462,317,225,21,4.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.960767754318618,0.056856187290969896,0.06910569105691057,0.062385321100917435,12497,282,229,17,0.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9657581573896353,0.109375,0.11382113821138211,0.11155378486055777,12551,228,218,28,1.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9643761996161229,0.08396946564885496,0.08943089430894309,0.08661417322834646,12539,240,224,22,2.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9683685220729367,0.07653061224489796,0.06097560975609756,0.06787330316742081,12598,181,231,15,3.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9593090211132438,0.06441717791411043,0.08536585365853659,0.07342657342657342,12474,305,225,21,4.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9609213051823416,0.06312292358803986,0.07723577235772358,0.06946983546617916,12497,282,227,19,0.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9645297504798465,0.10583941605839416,0.11788617886178862,0.11153846153846154,12534,245,217,29,1.0,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
